study_hours,attendance,previous_score,assignments_completed,sleep_hours,final_score
1.87,89.43,69.92,8,7.49,58.84
6.54,57.58,51.14,2,5.67,44.73
9.91,65.59,82.85,5,8.58,83.39
2.26,62.42,53.62,5,7.52,46.95
5.66,87.2,62.31,8,7.02,58.31
8.9,51.68,35.7,9,5.0,44.06
7.67,78.49,39.35,2,6.51,39.61
7.27,88.12,58.55,6,6.57,60.46
7.32,93.84,63.8,8,8.39,72.75
4.24,67.1,71.0,5,6.96,59.37
3.64,91.06,52.5,5,6.21,47.07
8.28,55.53,76.7,5,8.9,68.39
8.29,92.32,86.61,7,5.0,79.86
8.8,56.37,81.79,8,6.4,70.81
9.22,69.86,37.38,3,4.69,52.79
5.6,89.86,63.83,6,7.83,55.76
5.51,57.5,41.3,5,8.63,43.73
8.18,61.46,49.52,4,5.76,57.74
6.85,86.11,94.2,8,8.36,84.81
7.32,86.0,43.55,7,5.81,52.24
8.16,82.06,64.93,8,8.6,70.21
9.01,84.7,72.09,6,7.89,73.93
4.04,77.14,77.15,7,8.12,70.14
4.38,62.59,68.58,6,4.58,42.45
1.85,67.28,35.59,8,8.83,42.61
6.2,59.08,54.59,3,7.77,42.83
1.32,95.42,66.06,6,5.87,49.4
5.19,79.17,40.27,7,8.23,46.21
5.88,70.04,56.04,7,5.77,55.23
3.58,73.1,36.99,6,8.43,33.32
6.32,97.36,39.71,8,5.01,52.5
1.27,57.67,58.82,9,7.67,53.49
1.34,79.31,42.96,8,6.93,33.31
8.4,75.29,69.05,6,4.93,65.85
4.24,80.57,76.37,2,5.59,52.48
2.14,50.91,83.04,6,4.56,52.76
5.7,93.61,47.01,3,6.61,48.29
7.93,96.61,45.05,6,5.86,53.73
2.94,78.26,41.27,6,7.19,41.54
6.61,84.83,73.19,3,5.84,69.27
1.77,96.12,77.39,6,5.85,57.2
1.47,85.36,36.9,5,7.84,37.32
5.78,57.63,91.17,2,4.72,56.21
5.87,78.81,38.12,4,8.56,41.2
6.74,80.34,67.48,2,8.34,62.69
7.53,71.21,77.54,6,7.51,76.47
9.78,86.82,87.26,5,7.17,84.47
5.65,96.72,77.85,8,8.52,73.76
3.91,96.28,83.1,6,5.33,65.92
8.16,72.54,55.37,5,4.86,49.95
3.44,55.66,83.89,3,5.58,55.89
4.95,99.24,39.81,5,8.08,51.76
1.71,91.94,88.69,3,4.66,55.68
1.23,56.23,67.86,9,7.12,47.26
9.66,96.04,84.04,4,8.98,85.29
8.52,93.49,62.14,10,8.35,73.82
7.26,75.94,73.61,5,6.85,66.07
4.68,79.56,66.58,7,4.79,64.38
2.56,69.95,78.9,6,8.24,58.21
2.41,52.74,39.9,2,7.2,25.71
3.25,66.76,38.62,10,5.02,35.98
5.94,90.14,49.83,2,4.92,48.85
7.43,50.23,44.57,9,8.59,52.75
6.94,66.67,87.31,10,7.51,76.07
3.52,69.91,48.15,10,8.23,55.25
9.59,76.87,93.55,2,8.46,87.73
7.64,95.99,55.21,3,7.07,56.54
5.99,67.32,45.93,2,6.83,34.67
6.51,67.35,82.38,3,6.44,68.28
4.78,86.88,74.52,9,5.93,63.63
3.23,72.61,64.89,6,6.46,54.26
4.2,61.23,68.32,8,7.98,50.25
7.82,72.62,78.15,3,7.21,71.13
1.13,57.04,48.71,9,8.52,35.76
2.04,58.82,94.78,7,6.5,65.97
1.41,74.92,93.49,9,7.23,67.68
1.37,70.95,74.02,2,7.34,43.25
8.7,95.74,46.97,2,7.16,54.32
7.33,68.12,75.81,8,7.66,74.03
5.27,79.03,39.33,9,5.57,46.61
1.88,81.61,36.84,4,6.81,34.22
5.42,50.65,50.46,6,4.97,50.15
5.26,83.18,62.76,2,6.23,45.52
2.56,58.9,87.1,8,6.69,68.25
4.9,98.05,78.63,6,7.44,69.98
4.59,57.43,79.56,9,8.78,63.44
6.54,70.73,60.53,9,7.2,56.63
6.72,54.27,55.76,10,7.85,57.99
1.41,99.84,57.26,8,6.78,54.38
4.37,75.11,94.26,2,7.35,66.35
6.63,79.77,37.41,4,4.82,47.25
5.53,53.35,87.02,9,5.64,62.27
8.71,87.5,69.72,4,6.13,67.83
6.93,60.5,61.32,9,6.63,55.47
2.47,94.9,78.52,2,4.71,54.69
1.64,60.26,64.2,6,5.13,45.66
6.78,59.53,87.41,5,5.75,66.05
1.24,51.83,89.04,6,8.87,48.25
6.27,73.6,60.3,9,5.99,60.68
9.46,78.24,51.61,5,6.67,61.89
6.18,53.29,70.54,5,5.38,56.71
4.49,88.78,89.74,4,7.25,74.81
6.79,72.66,47.64,8,5.76,48.15
5.12,76.22,72.38,4,5.43,59.44
5.91,72.04,72.89,4,6.82,65.07
9.47,70.04,78.99,6,4.52,64.55
4.47,77.98,42.89,6,4.53,41.7
9.65,57.76,77.95,7,5.49,69.83
9.15,59.1,89.54,9,4.67,78.22
2.76,93.09,45.78,7,4.99,43.95
1.62,97.31,49.25,2,6.02,35.46
1.91,68.67,93.28,9,8.11,66.16
1.16,63.54,45.86,9,7.07,38.4
1.85,82.2,86.26,10,6.81,62.56
7.15,70.44,64.54,10,5.82,60.55
1.64,51.27,49.83,3,8.69,36.59
3.87,57.81,87.24,3,6.29,53.34
8.6,85.8,61.72,4,4.89,63.68
1.21,82.95,65.89,2,7.28,46.34
8.33,51.35,56.55,5,5.01,45.15
3.54,61.1,70.58,5,6.05,48.1
2.06,61.55,44.81,10,6.78,45.27
7.27,83.59,58.46,10,8.43,64.5
6.66,50.99,93.16,10,6.72,74.98
8.9,55.21,50.49,8,7.66,60.68
7.62,90.0,74.4,3,8.97,74.21
8.23,58.93,54.51,6,5.09,52.6
3.54,82.64,81.41,5,5.74,58.22
2.6,61.91,42.85,9,6.28,44.51
7.76,54.97,93.19,3,6.4,77.87
8.26,62.16,62.23,7,6.35,65.68
9.91,86.11,49.16,6,8.58,66.06
4.71,92.78,39.41,3,7.71,39.72
4.35,91.51,45.19,2,7.24,39.59
7.99,69.86,66.19,9,5.89,68.77
4.07,83.4,55.22,3,8.21,50.51
9.38,60.25,84.73,8,8.8,87.24
8.73,64.66,60.85,10,8.2,71.98
4.86,94.82,49.92,10,4.51,47.81
7.76,50.65,72.03,9,7.36,71.87
7.79,54.28,77.41,10,4.73,64.79
1.93,60.39,45.02,3,5.66,27.71
9.12,51.33,45.06,7,4.77,51.02
5.55,59.07,37.2,5,7.22,47.01
8.44,79.15,79.18,5,7.59,86.64
3.88,71.07,74.83,6,5.02,58.21
9.06,94.63,63.48,4,6.23,66.2
4.5,90.87,85.65,2,6.55,66.56
1.1,67.09,83.34,9,6.16,61.6
9.15,62.97,70.12,6,5.04,64.03
1.82,68.98,87.1,4,6.39,63.39
3.87,79.51,47.35,8,7.88,50.16
9.55,63.4,41.72,8,4.82,55.08
9.56,81.21,51.18,2,4.86,56.79
6.16,70.47,38.43,10,6.1,50.08
6.69,77.6,66.87,3,8.74,65.05
5.04,71.81,91.2,6,7.51,69.21
3.64,64.72,37.36,6,7.55,34.85
3.96,97.42,42.33,9,6.13,44.55
7.05,88.18,62.13,9,7.17,69.36
7.77,57.01,91.03,8,4.55,77.01
8.12,93.42,53.97,8,7.36,67.77
8.11,74.37,65.43,7,8.61,75.65
1.82,94.73,37.49,7,7.26,39.26
5.45,89.99,43.9,10,8.43,59.64
1.52,71.26,94.2,7,7.76,61.38
5.95,51.12,92.91,3,5.04,61.7
4.97,63.43,35.3,3,8.56,39.56
8.99,77.08,92.11,6,4.8,82.84
4.16,81.67,73.35,5,6.9,58.17
2.05,62.89,87.08,3,5.14,52.13
2.29,56.97,62.28,4,4.55,32.55
7.85,91.75,65.94,8,6.4,68.6
6.56,99.22,64.33,9,5.83,71.3
1.91,76.28,75.01,7,6.69,57.91
1.76,58.58,43.38,6,7.1,35.59
7.31,63.62,36.8,2,4.7,36.81
1.65,50.92,53.48,9,5.05,38.21
8.4,95.71,77.28,4,7.01,71.56
7.36,55.89,47.11,7,6.04,52.18
1.73,78.83,75.41,4,7.78,55.3
1.76,63.7,93.19,8,7.44,67.1
9.88,77.71,40.63,8,8.31,59.33
4.37,82.57,75.36,10,7.62,60.13
4.34,91.49,61.63,6,6.43,60.3
8.32,60.32,87.09,9,7.53,77.66
9.53,50.55,45.63,9,5.74,51.83
9.87,56.84,76.56,2,5.88,68.34
7.78,95.0,85.29,6,8.05,79.44
4.39,93.69,91.68,4,6.51,74.77
1.75,79.87,75.99,2,8.09,54.53
7.99,80.03,64.83,5,8.2,68.98
6.03,83.25,72.07,9,8.36,65.73
4.82,58.77,87.13,4,8.62,70.19
9.16,95.72,69.24,3,6.44,70.64
2.0,70.94,36.82,10,5.93,35.07
5.43,69.16,90.86,6,7.12,71.98
1.1,75.95,76.37,8,6.17,47.61
5.22,52.35,75.59,3,7.2,56.95
1.51,58.31,47.94,10,7.68,37.34
2.07,86.9,74.53,10,7.6,57.74
2.06,54.14,58.63,5,6.19,33.11
6.84,80.16,74.07,5,5.25,68.39
7.71,62.27,41.4,7,6.44,46.52
6.25,69.46,74.47,7,5.14,69.05
9.66,64.43,94.96,2,8.51,78.45
4.37,67.78,37.89,10,6.06,36.02
3.57,85.95,93.63,3,5.2,60.2
8.82,64.86,59.41,6,4.61,63.24
3.01,78.32,87.25,10,7.41,69.97
9.67,73.8,81.94,5,7.37,75.32
1.11,83.18,69.02,4,6.03,47.37
9.73,96.84,79.31,8,4.82,82.92
1.39,86.63,87.71,7,6.34,67.26
9.02,60.75,59.25,9,5.9,69.53
5.75,51.56,54.62,4,7.55,45.38
9.94,63.11,75.06,6,7.23,68.07
1.66,79.75,83.47,5,6.14,55.24
5.98,52.57,80.74,5,5.48,61.24
9.72,74.82,82.87,5,8.95,76.89
5.71,79.84,61.13,9,6.54,57.12
6.66,66.71,84.07,7,7.6,73.78
7.26,88.55,42.21,4,5.13,47.51
5.09,55.33,67.67,6,6.69,54.48
6.65,53.76,35.35,7,4.62,35.48
6.26,86.41,54.48,6,6.77,55.56
9.11,74.77,56.99,7,8.84,63.65
1.41,84.42,58.77,9,6.23,52.48
3.53,71.74,76.73,8,4.68,62.28
9.55,62.32,58.31,6,4.64,51.75
9.01,90.96,61.92,7,6.25,65.43
5.1,89.97,49.25,5,5.22,41.69
6.58,84.73,57.4,10,4.61,57.93
3.5,63.61,48.64,5,7.9,41.58
2.69,79.51,39.39,2,6.56,26.22
5.17,68.05,71.21,8,5.8,56.64
4.18,54.58,75.09,8,8.55,57.3
6.25,95.87,72.17,5,5.02,64.99
1.7,56.84,62.81,4,8.8,44.01
9.77,97.51,57.79,9,5.91,69.37
9.88,72.3,86.8,6,8.5,84.13
